,agent_lr,agent_hl,critic_lr,critic_hl,avg_regrets
0,0.03,64,0.03,32,69135.89025313577
1,0.003,64,0.03,32,29470.814361515222
2,0.0003,64,0.03,32,43357.35284540202
3,0.03,64,0.003,32,71928.31783198589
4,0.003,64,0.003,32,42037.413815999535
5,0.0003,64,0.003,32,63969.70654472037
6,0.03,64,0.0003,32,69354.25333049957
7,0.003,64,0.0003,32,18933.876463238863
8,0.0003,64,0.0003,32,47852.807709388595
9,0.03,64,0.03,64,71345.59777009112
10,0.003,64,0.03,64,16357.351202075059
11,0.0003,64,0.03,64,53729.406257619565
12,0.03,64,0.03,64,71704.03943840694
13,0.003,64,0.03,64,24027.53148536205
14,0.0003,64,0.03,64,59013.343392583716
15,0.03,64,0.03,64,71412.92882488939
16,0.003,64,0.03,64,3373.6293460730612
17,0.0003,64,0.03,64,51634.63140521313
