,agent_lr,agent_hl,critic_lr,critic_hl,avg_regrets
0,0.03,64,0.03,32,141230.4794199563
1,0.003,64,0.03,32,18880.432718360888
2,0.0003,64,0.03,32,93519.36850408101
3,0.03,64,0.003,32,127311.04791178572
4,0.003,64,0.003,32,14481.20033734466
5,0.0003,64,0.003,32,91318.54755682968
6,0.03,64,0.0003,32,107816.85086985092
7,0.003,64,0.0003,32,14837.746908670322
8,0.0003,64,0.0003,32,81278.790438193
9,0.03,64,0.03,64,108908.59984042427
10,0.003,64,0.03,64,14203.904207547223
11,0.0003,64,0.03,64,82763.71530136575
12,0.03,64,0.03,64,150154.6306953713
13,0.003,64,0.03,64,15195.930339182525
14,0.0003,64,0.03,64,86119.48581500958
15,0.03,64,0.03,64,117692.72011733927
16,0.003,64,0.03,64,13420.66486173528
17,0.0003,64,0.03,64,90116.31591370859
